timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1551899126138,984,RM Role Request POST,404,Not Found,Feeds Group 1-1,text,false,,727,858,1,1,983,0,947
1551899127342,32,Feed Requestor GET Sent & Received,404,Not Found,Feeds Group 1-1,text,false,,626,665,1,1,32,0,0
1551899128587,48,Feed Requestor GET Sent,404,Not Found,Feeds Group 1-1,text,false,,626,667,1,1,48,0,32
1551899293978,706,RM Role Request POST,500,,Feeds Group 1-1,text,false,,833,867,1,1,704,0,555
1551899295179,166,Feed Requestor GET Sent & Received,401,,Feeds Group 1-1,text,false,,1101,588,1,1,166,0,0
1551899334277,60,RM Role Request POST,404,Not Found,Feeds Group 2-1,text,false,,727,858,1,2,60,0,47
1551899335526,13,Feed Requestor GET Sent & Received,404,Not Found,Feeds Group 2-1,text,false,,626,665,1,2,13,0,0
1551899336777,45,Feed Requestor GET Sent,404,Not Found,Feeds Group 2-1,text,false,,626,667,1,2,45,0,33
1551899607133,229,RM Role Request POST,500,,Feeds Group 1-1,text,false,,833,867,1,1,229,0,115
1551899608382,94,Feed Requestor GET Sent & Received,401,,Feeds Group 1-1,text,false,,1101,549,1,1,94,0,0
1551899609633,144,Feed Requestor GET Sent,401,,Feeds Group 1-1,text,false,,1101,590,1,1,144,0,42
1551899610883,122,Feed Requestor GET Received,401,,Feeds Group 1-1,text,false,,1101,547,1,1,122,0,0
1551899612132,144,Feed Admin GET Sent & Received,401,,Feeds Group 1-1,text,false,,1101,592,1,1,144,0,45
1551899663893,52,RM Role Request POST,404,Not Found,Feeds Group 2-1,text,false,,727,858,1,2,52,0,38
1551899665143,13,Feed Requestor GET Sent & Received,404,Not Found,Feeds Group 2-1,text,false,,626,626,1,2,13,0,0
1551899666394,63,Feed Requestor GET Sent,404,Not Found,Feeds Group 2-1,text,false,,626,667,1,2,63,0,47
1551899667643,12,Feed Requestor GET Received,404,Not Found,Feeds Group 2-1,text,false,,626,624,1,2,12,0,0
1551899739815,51,RM Role Request POST,404,Not Found,Feeds Group 2-1,text,false,,727,858,1,2,51,0,35
1551899741065,14,Feed Requestor GET Sent & Received,404,Not Found,Feeds Group 2-1,text,false,,626,626,1,2,14,0,0
1551899742314,87,Feed Requestor GET Sent,404,Not Found,Feeds Group 2-1,text,false,,626,667,1,2,87,0,73
1551899884122,103,RM Role Request POST,404,Not Found,Feeds Group 2-1,text,false,,727,858,1,2,103,0,89
1551899885372,292,Feed Requestor GET Sent & Received,200,,Feeds Group 2-1,text,true,,1962,636,1,2,292,0,0
1551899886622,37,Feed Requestor GET Sent,404,Not Found,Feeds Group 2-1,text,false,,626,837,1,2,37,0,25
1551899887872,12,Feed Requestor GET Received,404,Not Found,Feeds Group 2-1,text,false,,626,794,1,2,12,0,0
1551899889121,48,Feed Admin GET Sent & Received,404,Not Found,Feeds Group 2-1,text,false,,626,839,1,2,48,0,35
1551899890371,14,Feed Admin GET Sent,404,Not Found,Feeds Group 2-1,text,false,,626,794,1,2,14,0,0
1551899891622,55,Feed Admin GET Received,404,Not Found,Feeds Group 2-1,text,false,,626,837,1,2,55,0,40
1551899892871,14,RM Role Request POST,404,Not Found,Feeds Group 2-1,text,false,,727,858,1,2,14,0,0
1551899894121,309,Feed Requestor GET Sent & Received,200,,Feeds Group 2-1,text,true,,1962,636,1,2,309,0,61
1551899895372,14,Feed Requestor GET Sent,404,Not Found,Feeds Group 2-1,text,false,,626,837,1,2,14,0,0
1551899896622,40,Feed Requestor GET Received,404,Not Found,Feeds Group 2-1,text,false,,626,794,1,2,40,0,27
1551899897871,12,Feed Admin GET Sent & Received,404,Not Found,Feeds Group 2-1,text,false,,626,839,1,2,12,0,0
1551899899122,51,Feed Admin GET Sent,404,Not Found,Feeds Group 2-1,text,false,,626,794,1,2,51,0,38
1551899900371,13,Feed Admin GET Received,404,Not Found,Feeds Group 2-1,text,false,,626,837,1,2,13,0,0
1551899901620,39,RM Role Request POST,404,Not Found,Feeds Group 2-1,text,false,,727,858,1,2,39,0,26
1551899902870,248,Feed Requestor GET Sent & Received,200,,Feeds Group 2-1,text,true,,1962,636,1,2,247,0,0
1551899904120,41,Feed Requestor GET Sent,404,Not Found,Feeds Group 2-1,text,false,,626,837,1,2,41,0,28
1551899905370,14,Feed Requestor GET Received,404,Not Found,Feeds Group 2-1,text,false,,626,794,1,2,14,0,0
1551899906619,43,Feed Admin GET Sent & Received,404,Not Found,Feeds Group 2-1,text,false,,626,839,1,2,43,0,30
1551899907872,11,Feed Admin GET Sent,404,Not Found,Feeds Group 2-1,text,false,,626,794,1,2,11,0,0
1551899909121,38,Feed Admin GET Received,404,Not Found,Feeds Group 2-1,text,false,,626,837,1,2,38,0,24
1551899910370,15,RM Role Request POST,404,Not Found,Feeds Group 2-1,text,false,,727,858,1,2,15,0,0
1551899911622,319,Feed Requestor GET Sent & Received,200,,Feeds Group 2-1,text,true,,1963,636,1,2,319,0,31
1551899912870,27,Feed Requestor GET Sent,404,Not Found,Feeds Group 2-1,text,false,,626,837,1,2,27,0,0
1551899914119,39,Feed Requestor GET Received,404,Not Found,Feeds Group 2-1,text,false,,626,794,1,2,39,0,27
1551899915371,13,Feed Admin GET Sent & Received,404,Not Found,Feeds Group 2-1,text,false,,626,839,1,2,13,0,0
1551899916621,48,Feed Admin GET Sent,404,Not Found,Feeds Group 2-1,text,false,,626,794,1,2,48,0,36
1551899917871,14,Feed Admin GET Received,404,Not Found,Feeds Group 2-1,text,false,,626,837,1,2,14,0,0
1551899919120,46,RM Role Request POST,404,Not Found,Feeds Group 2-1,text,false,,727,858,1,2,46,0,32
1551899920370,287,Feed Requestor GET Sent & Received,200,,Feeds Group 2-1,text,true,,1962,636,1,2,287,0,0
1551899921621,40,Feed Requestor GET Sent,404,Not Found,Feeds Group 2-1,text,false,,626,837,1,2,40,0,23
1551899922872,16,Feed Requestor GET Received,404,Not Found,Feeds Group 2-1,text,false,,626,794,1,2,15,0,0
1551899924122,48,Feed Admin GET Sent & Received,404,Not Found,Feeds Group 2-1,text,false,,626,839,1,2,48,0,35
1551899925372,20,Feed Admin GET Sent,404,Not Found,Feeds Group 2-1,text,false,,626,794,1,2,20,0,0
1551899926621,48,Feed Admin GET Received,404,Not Found,Feeds Group 2-1,text,false,,626,837,1,2,48,0,33
1551899927871,14,RM Role Request POST,404,Not Found,Feeds Group 2-1,text,false,,727,858,1,2,14,0,0
1551899929121,296,Feed Requestor GET Sent & Received,200,,Feeds Group 2-1,text,true,,1963,636,1,2,296,0,29
1551899930370,16,Feed Requestor GET Sent,404,Not Found,Feeds Group 2-1,text,false,,626,837,1,2,16,0,0
1551899931622,90,Feed Requestor GET Received,404,Not Found,Feeds Group 2-1,text,false,,626,794,1,2,90,0,78
1551899932870,13,Feed Admin GET Sent & Received,404,Not Found,Feeds Group 2-1,text,false,,626,839,1,2,13,0,0
1551899934121,47,Feed Admin GET Sent,404,Not Found,Feeds Group 2-1,text,false,,626,794,1,2,47,0,29
1551899935371,14,Feed Admin GET Received,404,Not Found,Feeds Group 2-1,text,false,,626,837,1,2,14,0,0
1551899936621,45,RM Role Request POST,404,Not Found,Feeds Group 2-1,text,false,,727,858,1,2,45,0,32
1551899937871,264,Feed Requestor GET Sent & Received,200,,Feeds Group 2-1,text,true,,1963,636,1,2,264,0,0
1551899939121,50,Feed Requestor GET Sent,404,Not Found,Feeds Group 2-1,text,false,,626,837,1,2,50,0,38
1551899940371,14,Feed Requestor GET Received,404,Not Found,Feeds Group 2-1,text,false,,626,794,1,2,14,0,0
1551899941621,44,Feed Admin GET Sent & Received,404,Not Found,Feeds Group 2-1,text,false,,626,839,1,2,44,0,30
1551899942871,12,Feed Admin GET Sent,404,Not Found,Feeds Group 2-1,text,false,,626,794,1,2,12,0,0
1551899944121,50,Feed Admin GET Received,404,Not Found,Feeds Group 2-1,text,false,,626,837,1,2,50,0,35
1551899945371,15,RM Role Request POST,404,Not Found,Feeds Group 2-1,text,false,,727,858,1,2,15,0,0
1551899946621,289,Feed Requestor GET Sent & Received,200,,Feeds Group 2-1,text,true,,1962,636,1,2,289,0,29
1551899947870,15,Feed Requestor GET Sent,404,Not Found,Feeds Group 2-1,text,false,,626,837,1,2,15,0,0
1551899954830,3114,RM Role Request POST,201,,Feeds Group 2-1,text,true,,1788,867,1,2,3114,0,29
1551899957947,291,Feed Requestor GET Sent & Received,200,,Feeds Group 2-1,text,true,,1978,806,1,2,291,0,55
1551899959196,491,Feed Requestor GET Sent,200,,Feeds Group 2-1,text,true,,1989,846,1,2,491,0,0
1551899960447,280,Feed Requestor GET Received,200,,Feeds Group 2-1,text,true,,1501,803,1,2,280,0,26
